scheme_id,scheme_name,min_age,max_age,gender,state,occupation,income_limit,category,education_level,disability_status,marital_status
48,"""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme",,,Any,All India,Entrepreneur,,ST,Any,Any,Any
49,"""Exhibition"" Component of the ""Development Of Handicrafts"" Scheme",,,Any,All India,Any,,SC,Any,Any,Any
50,"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",23.0,60.0,Male,All India,Entrepreneur,,ST,Any,Any,Any
51,"""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",,,Male,All India,Any,,"SC,ST",Any,Any,Any
52,"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",5.0,,Male,All India,Entrepreneur,,ST,Any,Any,Any
53,"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",,,Male,All India,Any,,ST,Any,Any,Any
54,"""Grant To Handicrafts Societies"" Component of the ""Development of Handicrafts"" Scheme",,,Male,All India,Artisan,,ST,Any,Any,Any
55,"""Grant of Margin Money for Availing Capital Loan"" Component of the ""Development of Coir"" Scheme",,,Any,All India,Any,,ST,Any,Any,Any
56,"""Grant of Margin Money for Availing the Capital Loan"" Component of the ""Development of Silk"" Scheme",5.0,,Any,All India,Any,,"SC,ST",Any,Any,Any
57,"""Grant to Coir Cluster/Societies/Agency"" Component of the ""Development of Coir"" Scheme",,,Any,All India,Artisan,,ST,Any,Any,Any
58,"""Grant to Silk Societies/Agency"" Component of the ""Development of Silk"" Scheme",,,Any,All India,Artisan,,ST,Any,Any,Any
59,"""Grant to Subsidy for Raw Materials Procurement"" Component of the ""Development of Coir"" Scheme",,,Any,All India,Any,,ST,Any,Any,Any
60,"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",,,Male,All India,Any,,ST,Any,Any,Any
61,"""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",60.0,,Female,All India,Any,,"SC,ST",Any,Any,Any
62,"""In-Plant Training"" Component of the ""Development of Industries"" Scheme",18.0,35.0,Any,All India,Unemployed,,ST,10th,Any,Any
63,"""Infrastructure Development Subsidy (For IT/ITES)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",5.0,,Male,All India,Entrepreneur,,ST,Any,Any,Any
64,"""Infrastructure Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",,,Male,All India,Any,,"SC,ST",Any,Any,Any
65,"""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",3.0,,Male,All India,Any,,ST,Any,Any,Any
66,"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",,,Male,Odisha,Any,,"SC,ST",Any,Any,Any
67,"""Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board",,,Male,All India,Farmer,,Any,Any,Any,Any
68,"""Interest Subsidy (For Micro, Small, Medium and Large New Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",5.0,,Male,All India,Entrepreneur,,ST,Any,Any,Any
69,"""Interest Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",,,Female,All India,Entrepreneur,,"SC,ST",Any,Any,Any
70,"""Management Training"" Component of the ""Development of Industries"" Scheme",,,Any,All India,Entrepreneur,,ST,Any,Any,Any
71,"""Market Development Support Assistance"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",5.0,,Male,All India,Entrepreneur,,ST,Any,Any,Any
72,"""Monthly Grant To Old Crafts Persons (Pension)"" Component of the ""Development of Handicrafts"" Scheme",5.0,60.0,Any,All India,Artisan,,ST,Any,Any,Any
73,"""Outstanding Artisan of the Year"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",3.0,,Any,All India,Artisan,,Any,Any,Any,Any
74,"""Outstanding Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",3.0,,Male,All India,Any,,ST,Any,Any,Any
75,"""Outstanding Exporter"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",3.0,,Male,All India,Any,,ST,Any,Any,Any
76,"""Outstanding SC/ST Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",3.0,,Male,All India,Entrepreneur,,"SC,ST",Any,Any,Any
77,"""Protected Cultivation"" Component of ""Establishment of New Gardens (Area Expansion)"" Scheme",,,Any,All India,Farmer,,Any,Any,Any,Any
78,"""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",1.0,,Male,Odisha,Any,,ST,Any,Any,Any
79,"""Rent Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",,,Female,All India,Entrepreneur,,"SC,ST",Any,Any,Any
80,"""SUPER 30"" Scheme",,,Male,All India,Student,,"SC,ST",10th,Yes,Any
81,"""Subsidy for Cultivation of Fodder Crops"" Component of the ""Crop Production Technology"" Scheme",,,Any,All India,Farmer,,Any,Any,Any,Any
82,"""Subsidy for Quality Certification"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various incentives""",5.0,,Male,All India,Entrepreneur,,ST,Any,Any,Any
83,"""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",5.0,60.0,Female,All India,Entrepreneur,,ST,Any,Any,Any
84,"""Subsidy to Pollution Control Equipment"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",5.0,,Male,All India,Entrepreneur,,ST,Any,Any,Any
85,"""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme",,,Any,All India,Farmer,,Any,Any,Any,Any
86,"""Training in Handicrafts"" Component of the ""Development Of Handicrafts"" Scheme",18.0,35.0,Any,All India,Any,,ST,Any,Any,Any
87,"""Training in Silk"" Component of the ""Development of Silk"" Scheme",18.0,35.0,Any,All India,Any,,SC,Any,Any,Any
88,"""Vocational Training"" Component of the ""Development of Industries"" Scheme",18.0,35.0,Any,All India,Unemployed,,ST,10th,Any,Any
89,"'Financial Assistance for Setting Up of Sales Emporia by Industrial Associations, Handicrafts Societies and Recognized Institutions' under 'Marketing And Publicity'",,,Any,All India,Artisan,,ST,Any,Any,Any
90,"'Grant-in-Aid to Industrial Association, CII, Industrial NGOs for Promotion of SME Clusters' under 'Marketing And Publicity'",,,Any,All India,Any,,ST,Any,Any,Any
91,"'Organizing/ Participation in Exhibitions /Trade Fairs /Expo /Seminars /Investors Meets, etc' under 'Marketing And Publicity'",,,Any,All India,Artisan,,ST,Any,Any,Any
92,'Rent Subsidy for Sales Emporia Established by Handicrafts / Micro & Small Industries Emporium' under 'Marketing And Publicity',,,Any,All India,Any,,Any,Any,Any,Any
93,15 Days Skill Up-gradation Training,,,Any,Andhra Pradesh,Worker,,ST,Any,Any,Any
94,25% Capital Investment Subsidy Scheme,18.0,,Female,All India,Entrepreneur,2500000.0,"SC,ST",Any,Any,Any
95,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",,,Male,All India,Any,,SC,Any,Any,Any
96,6 Varsh Se Adhik Aayu Ke Bahuviklang Aur Mansik Roop Se Aviksit Nisaktjan Ke Liye Sahayata Anudan Yojana,,,Male,Madhya Pradesh,Any,,Any,Any,Yes,Any
97,60% and above Disability Allowances,10.0,,Male,All India,Government Employee,,Any,Any,Yes,Any
98,AASRA Scheme,,,Male,All India,Any,,"SC,ST",Any,Any,Widowed
99,AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows,,,Male,All India,Any,,ST,Any,Any,Widowed
100,AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST,,,Male,Gujarat,Farmer,,"SC,ST",Any,Any,Any
101,AGR 3 (Farm Mechanization) Scheme For ST Farmers,,,Male,Gujarat,Farmer,,"SC,ST",Any,Any,Any
102,AGR 4 (Farm Mechanization) Scheme For SC Farmers,,,Male,Gujarat,Farmer,,"SC,ST",Any,Any,Any
103,AGR-50 Scheme-Assistance To Purchase Tractors,,,Male,Gujarat,Farmer,,"SC,ST",Any,Any,Any
104,AGR-61 Agro Service Providers for the Purpose of Making Farming More Profitable With the Help of Farm Mechanization,,,Male,All India,Farmer,,ST,UG,Any,Any
105,AICTE - Distinguished Chair Professor Fellowship,,,Male,All India,Any,,ST,Any,Any,Any
106,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,,,Male,All India,Any,,ST,Any,Any,Any
107,AICTE - Research Promotion Scheme (RPS),,,Male,All India,Any,,ST,PG,Any,Any
108,"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students",5.0,5.0,Male,All India,Student,50.0,"SC,ST",Student,Any,Any
109,"AICTE - YOUTH UNDERTAKING VISIT FOR ACQUIRING KNOWLEDGE (YUVAK): STUDY TOUR OF ATAL TUNNEL, HIMACHAL PRADESH",,,Any,All India,Student,,ST,Student,Any,Any
110,AICTE e-Shodh Sindhu Scheme (eSS),7.0,10.0,Male,All India,Any,,"SC,ST",PG,Any,Any
111,AICTE – Mitacs Globalink Research Internship (GRI) Scheme,18.0,,Any,All India,Student,,ST,UG,Any,Any
112,AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree),,,Male,All India,Student,800000.0,ST,UG,Yes,Any
113,AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),,,Male,All India,Student,800000.0,ST,Student,Yes,Any
114,AICTE- TECHNICAL UNIVERSITY JOINT TRAINING PROGRAMS FOR TEACHERS,,,Any,All India,Any,,ST,Any,Any,Any
115,AICTE- Technical University Joint Training Programs for Librarians,,,Any,All India,Any,,ST,Any,Any,Any
116,"AICTE-IDEA (Idea Development, Evaluation & Application) LAB SCHEME",10.0,,Male,All India,Any,,ST,Any,Any,Any
117,AICTE-INAE Distinguished Visiting Professorship Scheme,40.0,75.0,Male,All India,Any,,"SC,ST",UG,Any,Any
118,AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,4.0,,Any,All India,Student,,"SC,ST",UG,Any,Any
119,AICTE-ISTE INDUCTION/REFRESHER PROGRAMME SCHEME,,,Male,All India,Any,,ST,Any,Any,Any
120,AICTE-LILAVATI AWARD,,,Female,All India,Student,,ST,Student,Any,Any
121,AICTE-Margdarshan scheme,,,Male,All India,Any,,"SC,ST",Any,Any,Any
122,AICTE-National Initiative for Training of Technical Teachers (for Inductee Teachers) Scheme,,,Any,All India,Any,,ST,Any,Any,Any
123,AICTE-PROFESSIONAL DEVELOPMENT SCHEME,5.0,,Male,All India,Any,,"SC,ST",Any,Any,Any
124,AICTE-QUALITY IMPROVEMENT (FOREIGN UNIVERSITY) PROGRAMME,,,Male,All India,Any,,ST,UG,Any,Any
125,"AICTE-SHORT TERM TRAINING PROGRAMME (STTP) (UT-J&K,LADAKH AND NER)",,,Any,All India,Any,,ST,Any,Any,Any
126,AICTE-Swanath Scholarship Scheme For Students,,,Any,All India,Any,,"SC,ST",UG,Any,Any
127,AICTE-Technical Book Writing & Translation Scheme,,,Male,All India,Any,,ST,UG,Any,Any
128,AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,,,Any,All India,Any,,ST,Any,Any,Any
129,ARAVANAIPPU,18.0,,Female,All India,Any,,ST,Any,Any,Any
130,ASEAN-India Research Training Fellowship,3.0,45.0,Male,All India,Any,,"SC,ST",UG,Any,Any
131,Aahar Anudan Yojana,,,Female,Madhya Pradesh,Any,,Any,Any,Any,Any
132,Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,,,Female,All India,Farmer,,"SC,ST",Any,Any,Any
133,Aam Aadmi Bima Yojana,18.0,59.0,Any,All India,Any,,Any,Any,Any,Any
134,Aam Aadmi Bima Yojana (Maharashtra),18.0,59.0,Any,Maharashtra,Labour,,"SC,ST",Any,Any,Any
135,Aamar Dukan On Wheels,18.0,,Male,All India,Unemployed,,ST,Any,Any,Any
136,Aapki Beti Hamari Beti,18.0,,Female,Haryana,Any,,"SC,ST",Any,Any,Married
137,Aapki Beti Yojana,,,Female,Rajasthan,Student,,"SC,ST",Student,Any,Any
138,Aastha Yojana,,,Any,Rajasthan,Any,,ST,Any,Yes,Any
139,Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Assistance of Interest Subsidy,,,Male,All India,Any,5000000000.0,ST,Any,Any,Any
140,Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: EPF Reimbursement,,,Male,All India,Any,,ST,Any,Any,Any
141,Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Net SGST reimbursement,,,Male,All India,Any,5000000000.0,ST,Any,Any,Any
142,Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of SGST Paid on Capital Goods,,,Male,All India,Any,,"SC,ST",Any,Any,Any
143,Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of Stamp Duty and Registration Fees,,,Male,All India,Any,,ST,Any,Any,Any
144,Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Assistance of Interest Subsidy,,,Male,All India,Any,,"SC,ST",Any,Any,Any
145,Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: EPF Reimbursement,,,Male,All India,Any,,"SC,ST",Any,Any,Any
146,Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Net SGST Reimbursement,,,Male,All India,Any,,"SC,ST",Any,Any,Any
147,"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Interest Subsidy to Micro, Small and Medium Enterprise (Manufacturing Sector)",,,Male,All India,Any,,"SC,ST",Any,Any,Any
148,"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Interest Subsidy to Micro, Small and Medium Enterprise (Service Sector)",,,Male,All India,Any,,"SC,ST",Any,Any,Any
149,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Patent Registration,,,Male,All India,Any,,"SC,ST",Any,Any,Any
150,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Power Connection Charges,,,Male,All India,Any,,"SC,ST",Any,Any,Any
151,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Quality Certification,,,Male,All India,Any,,"SC,ST",Any,Any,Any
152,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Raising Capital through SME Exchange,,,Male,All India,Any,,"SC,ST",Any,Any,Any
153,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Reimbursement of CGTMSE Fees,,,Male,All India,Any,,"SC,ST",Any,Any,Any
154,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Saving in Consumption of Energy and Water,,,Male,All India,Any,,ST,Any,Any,Any
155,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Technology Acquisition,,,Male,All India,Any,,"SC,ST",Any,Any,Any
156,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance in Implementation of Information and Communication Technology,,,Male,All India,Any,,"SC,ST",Any,Any,Any
157,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance in Rent to MSEs,,,Male,All India,Any,,ST,Any,Any,Any
158,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance of Capital Investment Subsidy to Micro enterprises,,,Male,All India,Any,,"SC,ST",Any,Any,Any
159,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: EPF Reimbursement to MSMEs,,,Male,All India,Any,,"SC,ST",Any,Any,Any
160,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Financial Support to MSMEs in ZED Certification,,,Male,All India,Any,,"SC,ST",Any,Any,Any
161,"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Net SGST reimbursement to Micro, Small and Medium Manufacturing Enterprise (MSMEs):",,,Male,All India,Any,,"SC,ST",Any,Any,Any
162,Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Rehabilitation of Sick Enterprise,,,Male,All India,Any,,"SC,ST",Any,Any,Any
163,Aawaas Sahayata,,,Male,Madhya Pradesh,Student,,ST,UG,Any,Any
164,Aaws Bhatta Sahayata Yojana,,,Male,All India,Student,,"SC,ST",Student,Any,Any
165,Abdul Kalam Technology Innovation National Fellowship,,,Male,All India,Any,,"SC,ST",UG,Any,Any
166,Abhayakiranam Scheme-Financial Assistance To Destitute Widows,50.0,,Male,Kerala,Any,,"SC,ST",Any,Any,Widowed
167,Abhinandan Education Loan Subsidy Scheme,,,Male,All India,Student,100000.0,"SC,ST",Student,Any,Any
168,Abua Awas Yojana,,,Male,All India,Labor,,"SC,ST",Any,Any,Any
169,Academic Education (JKBOCWWB),18.0,60.0,Any,All India,"Student,Worker",,"SC,ST",Student,Any,Any
170,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,,,Male,All India,Any,,ST,Any,Any,Any
171,Accident Assistance (K.B.O.C.W.W.B),18.0,,Male,Karnataka,Worker,,"SC,ST",Any,Any,Any
172,Accident Medical Assistance Scheme (PBAOCWWB),18.0,60.0,Male,All India,Worker,,ST,Any,Any,Any
173,Accident Relief Scheme,,,Female,All India,Any,,ST,Any,Any,Any
174,Accidental Benefit,18.0,60.0,Male,West Bengal,Worker,,"SC,ST",Any,Yes,Any
175,Accidental Death Assistance Scheme (GBOCWWB),,,Male,All India,Worker,,ST,Any,Yes,Any
176,Accidental Death Assistance Scheme- Gujarat Labour Welfare Board,2.0,,Male,All India,"Labour,Worker",,"SC,ST",Any,Any,Any
177,Accidental Death Assistance for the Construction Workers,18.0,60.0,Any,All India,Worker,,ST,Any,Any,Any
178,Accidental Death Benefit Scheme (PBAOCWWB),18.0,60.0,Male,All India,Worker,,ST,Any,Any,Any
179,Acharya Vidyasagar Gau Samvardhan Yojana,,,Male,All India,Any,,"SC,ST",Any,Any,Any
180,Additional Financial Assistance for the Children of Persons Engaged in the Cleaning Profession,,,Any,All India,Student,,"SC,ST,OBC",Student,Any,Any
181,Additional Pension to 100% Disabled Ex-Serviceman having Children,20.0,20.0,Male,Haryana,Any,,ST,Any,Yes,Married
182,Additional Pension to 100% Disabled Ex-Serviceman having No Child,,,Male,Haryana,Any,,Any,Any,Yes,Any
183,Additional Pension to Widow of Ex-Serviceman having Children,20.0,20.0,Male,Haryana,Any,,ST,Any,Any,Widowed
184,Additional Pension to Widow of Ex-Serviceman having No Child,,,Male,Haryana,Any,,Any,Any,Any,Widowed
185,Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,,,Any,Tamil Nadu,Student,,ST,Student,Any,Any
186,Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes,,,Any,Tamil Nadu,Student,,ST,10th,Any,Any
187,Adi Dravidar and Tribal Welfare Department: Incentive/Award of Prizes-For Each Subjects,,,Any,Tamil Nadu,Student,,ST,10th,Any,Any
188,Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,,,Any,Tamil Nadu,Student,,"SC,ST",Student,Any,Any
189,Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std.,,,Any,Tamil Nadu,Student,,ST,10th,Any,Any
190,Adi Dravidar and Tribal Welfare Department: Stationary-Text Books,,,Any,Tamil Nadu,Student,,"SC,ST",Student,Any,Any
191,"Adivasi Sanskriti Evam Kala Kendra/Majhi Bhavan, Manki Munda Bhavan, Parha Bhavan, Pargana Bhavan, Dumkuria Bhavan Evam Gosade Nirman Tatha Majhi Than Shed Nirman Yojana",,,Male,All India,Any,,ST,Any,Any,Any
192,Admission in Post Matric Hostel,,,Any,All India,Any,,ST,Any,Any,Any
193,Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,,,Male,Tamil Nadu,Student,,"SC,ST",Student,Any,Any
194,Advance Authorisation(AA),,,Male,All India,Any,,ST,Intermediate,Any,Any
195,Advance For Purchase Or Construction Of House (APB&OCWWB),5.0,15.0,Male,All India,"Labour,Worker",5.0,ST,Any,Any,Any
